StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Page1,Q_Country,Q_Ethnicity,Q_Genres,Q_GenreOther,Q_Age,Q_Musicianship,Baseline_Teental,Baseline_Rupak,Base_Teental_sd1_1,Base_Teental_Complex_1,Base_Teental_sp1_1,Base_Teental_Basic_1,Base_Teental_Naturl_1,Teental Tutorial,1. Dadra,5. Keherva,4. Jhaptal,2. Deepchandi,3. TeentalComplex,Testing_Teental,Test_Teental_sd1_1,Test_Teental_Complex_1,Test_Teental_sp1_1,Test_Teental_Basic_1,Test_Teental_Naturl_1,Test_Teental_Naturll_1,Base_Rupak_sd1_1,Base_Rupak_Complex_1,Base_Rupak_sp1_1,Base_Rupak_Basic_1,Base_Rupak_Naturl_1,Rupak_Tutorial,1. Dadra,3. Rupak Complex,5. Keherva,4.Jhaptal,2. Deepchandi,Testing_Rupak,Test_Rupak_sd1_1,Test_Rupak_Complex_1,Test_Rupak_sp1_1,Test_Rupak_Basic_1,Test_Rupak_Naturl_1,Test_Rupak_Naturl2_1,SC0,SC1,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
12/09/2023 22:30,12/09/2023 22:54,100,1463,TRUE,12/09/2023 22:54,R_1fkOk1ntvQaTR89,,,,,51.4964,-0.1224,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White European ,"Jazz ,Rock  ,Pop ,Folk ,Western Classical ,Others","Soul, Funk, rnb, indie/alternative rock",26,Semiprofessional musician,Continue,,Moderately Similar,Slightly Similar,Slightly Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Slightly Similar,Not Similar,Very Similar,Moderately Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
13/09/2023 13:36,13/09/2023 13:46,100,629,TRUE,13/09/2023 13:46,R_01wjQZUqbwFVBe1,,,,,51.4537,-0.232,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White - British,"Rock  ,Pop ,Metal ,Folk ,Latin ,Western Classical ,Others","Indie, Musicals, Soundtracks (games, tv, movies etc), r&b, rap / hip-hop, county, dance / electronic / d&b",22,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Moderately Similar,Similar,Extremely Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,No,No,Continue,Moderately Similar,Very Similar,Slightly Similar,Slightly Similar,Similar,Extremely Similar,0,3,,,,,3,,,
07/09/2023 17:43,07/09/2023 17:46,53,219,FALSE,14/09/2023 17:47,R_1IT5fE9Fae36WUN,,,,,,,anonymous,EN-GB,Yes,United States of America,british American  ,"Jazz ,Opera ,Folk ,Western Classical ",,40,Professional musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
07/09/2023 18:49,07/09/2023 18:54,7,308,FALSE,14/09/2023 18:54,R_3sbpRcX56zHoVxR,,,,,,,anonymous,EN-GB,Yes,India,Asian-Indian,"Rock  ,Pop ,Folk ,Western Classical ,Indian Classical ,Other Indian Music",,26,Amateur musician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
07/09/2023 20:14,07/09/2023 20:15,6,88,FALSE,14/09/2023 20:15,R_3qECnkgbV2vcx1D,,,,,,,anonymous,EN-GB,Yes,India,Indian,"Rock  ,Pop ,Metal ,Folk ,Indian Classical ,Other Indian Music",,23,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
07/09/2023 20:48,07/09/2023 20:52,7,244,FALSE,14/09/2023 20:52,R_YQ7ij7UhAFYMDCh,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Eastern European ,"Rock  ,Pop ,Western Classical ",,19,Serious amateur musician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
07/09/2023 21:44,07/09/2023 21:46,7,92,FALSE,14/09/2023 21:46,R_pgS8CfEgS8zVXI5,,,,,,,anonymous,EN-GB,Yes,United States of America,White AmericN Jewish,"Jazz ,Pop ,Folk ,Others",British Brass Bands,25,Professional musician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
08/09/2023 04:13,08/09/2023 04:15,1,170,FALSE,15/09/2023 04:15,R_2D2klq650BtPIT0,,,,,,,anonymous,EN-GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
08/09/2023 08:05,08/09/2023 08:06,1,63,FALSE,15/09/2023 08:06,R_2tKJcBcyAzPyB5k,,,,,,,qr,EN-GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
08/09/2023 09:56,08/09/2023 09:57,53,46,FALSE,15/09/2023 09:57,R_2TTqmzgNARg71QN,,,,,,,anonymous,EN-GB,Yes,Argentina,Hkj,"Pop ,Metal ,Folk ,Reggae ",,Hhj,Semiprofessional musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
15/09/2023 11:01,15/09/2023 11:06,100,293,TRUE,15/09/2023 11:06,R_ZyJzf6j0MaiPnIR,,,,,25.0504,121.5324,qr,EN-GB,Yes,China,Asian-China,"Jazz ,Pop ",,24,Nonmusician,Continue,,Slightly Similar,Similar,Moderately Similar,Moderately Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",Yes,Yes,No,No,Yes,Continue,Slightly Similar,Moderately Similar,Very Similar,Slightly Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,3,0,1,3,,,,,,
15/09/2023 12:59,15/09/2023 13:08,100,535,TRUE,15/09/2023 13:08,R_1H6NjQiS32bLPOn,,,,,51.4964,-0.1224,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White American ,"Jazz ,Rock  ,Pop ,Opera ,Folk ,Western Classical ,Others",Country/Bluegrass ,25,Semiprofessional musician,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Slightly Similar,Similar,Slightly Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Not Similar,Moderately Similar,Similar,Very Similar,Extremely Similar,Very Similar,0,5,,,,,5,,,
08/09/2023 17:37,08/09/2023 17:45,53,514,FALSE,15/09/2023 17:45,R_WDag5EtVjAQOHyF,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White Irish,"Jazz ,Rock  ,Pop ,Opera ,Folk ,Reggae ,Western Classical ,Others",blues,25,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 05:45,09/09/2023 05:56,49,684,FALSE,16/09/2023 05:56,R_TwoJXZY8JiX7QGd,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Jazz ,Rock  ,Pop ,Metal ,Opera ,Folk ,Reggae ,Western Classical ,Indian Classical ",,51,Serious amateur musician,Continue,,Moderately Similar,Slightly Similar,Similar,Very Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
09/09/2023 08:37,09/09/2023 08:43,53,402,FALSE,16/09/2023 08:43,R_12fEnfvRCvEfjZH,,,,,,,anonymous,EN-GB,Yes,India,Asian - Indian ,"Folk ,Reggae ,Indian Classical ,Other Indian Music",,34,Professional musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 11:31,09/09/2023 11:33,10,149,FALSE,16/09/2023 11:34,R_3plgyyZUrGXFVeR,,,,,,,anonymous,EN-GB,Yes,Netherlands,Middle eastern,"Rock  ,Pop ",,26,Music-loving nonmusician,Continue,,Moderately Similar,Similar,Moderately Similar,Very Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 12:31,09/09/2023 12:36,56,265,FALSE,16/09/2023 12:36,R_2y1JCHhYqlm65mT,,,,,,,anonymous,EN-GB,Yes,Turkey,Middle Eastern,"Jazz ,Rock  ,Pop ,Metal ,Western Classical ",,20,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,,Slightly Similar,Not Similar,Similar,Extremely Similar,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 13:26,09/09/2023 13:32,53,389,FALSE,16/09/2023 13:32,R_1gpE7huquXmggcs,,,,,,,anonymous,EN-GB,Yes,Germany,Indian,"Indian Classical ,Other Indian Music",,24,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 15:11,09/09/2023 15:15,10,242,FALSE,16/09/2023 15:15,R_4JfvijlLeBGH6fv,,,,,,,anonymous,EN-GB,Yes,Netherlands,Turkish,"Rock  ,Pop ,Latin ,Western Classical ,Others",Flamenco,23,Amateur musician,Continue,,Similar,Similar,Similar,Moderately Similar,Similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
09/09/2023 19:46,09/09/2023 19:50,57,272,FALSE,16/09/2023 19:50,R_2pWSHwGz7bmRyoq,,,,,,,anonymous,EN-GB,Yes,India,Asian - Indian,"Jazz ,Rock  ,Pop ,Folk ,Western Classical ,Indian Classical ",,23,Serious amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Not at all similar,Not at all similar,Not at all similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 02:22,10/09/2023 02:25,6,196,FALSE,17/09/2023 02:25,R_2ZDfxr7S4g0Vs9r,,,,,,,anonymous,EN-GB,Yes,India,Asian-indian,"Rock  ,Folk ,Other Indian Music",,24,Music-loving nonmusician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 12:32,10/09/2023 12:40,1,459,FALSE,17/09/2023 12:40,R_1pEA50kbsxmgC5c,,,,,,,anonymous,EN-GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 18:18,10/09/2023 18:22,56,231,FALSE,17/09/2023 18:22,R_21BWxXsoEDo9oym,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Mixed- White and South-East Asian,"Jazz ,Pop ,Reggae ,Others","Hip-hop, Grime, Indie",20,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Extremely Similar,Slightly Similar,Similar,Very Similar,Very Similar,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 19:41,10/09/2023 19:45,10,236,FALSE,17/09/2023 19:45,R_3sdyIhX5Jcs2l8w,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Rock  ,Pop ,Metal ,Folk ",,22,Music-loving nonmusician,Continue,,Extremely Similar,Similar,Very Similar,Very Similar,Very Similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 19:52,10/09/2023 19:53,56,80,FALSE,17/09/2023 19:53,R_3HBrwPrYVST1tt3,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White- british,"Pop ,Others",Kpop,22,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 21:32,10/09/2023 21:34,7,89,FALSE,17/09/2023 21:34,R_1lzpfxiqRZxujbi,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian- Chinese,Pop ,,24,Nonmusician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10/09/2023 22:31,10/09/2023 22:33,53,160,FALSE,17/09/2023 22:34,R_egR51sqLb4wmlcR,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian,"Jazz ,Rock  ,Pop ,Folk ,Reggae ,Latin ,Western Classical ,Other Indian Music",,30,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11/09/2023 00:14,11/09/2023 00:17,7,147,FALSE,18/09/2023 00:17,R_2sc24G9arsciGXY,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian - Indian,Other Indian Music,,21,Music-loving nonmusician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11/09/2023 07:41,11/09/2023 07:45,6,224,FALSE,18/09/2023 07:45,R_3mlXDdTWkq4Iwu9,,,,,,,anonymous,EN-GB,Yes,India,Indian Goan ,"Rock  ,Pop ,Folk ,Reggae ,Western Classical ",,53,Music-loving nonmusician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11/09/2023 12:43,11/09/2023 12:45,7,85,FALSE,18/09/2023 12:45,R_1i53dFeEcYzyHRh,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Rock  ,Pop ,Folk ,Others",Rap,26,Nonmusician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11/09/2023 12:39,11/09/2023 12:48,48,563,FALSE,18/09/2023 12:48,R_3n9hpK8uoZF6zPh,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Mixed other,"Jazz ,Pop ,Reggae ",,23,Music-loving nonmusician,Continue,,Moderately Similar,Not Similar,Similar,Moderately Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
11/09/2023 13:43,11/09/2023 13:51,81,473,FALSE,18/09/2023 13:52,R_2QWbVLPtHeYq4jW,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White,"Rock  ,Pop ",,24,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Similar,Similar,Very Similar,Similar,"I can now count the number of beats, and I am ready to continue.",Yes,No,Yes,No,No,,,,,,,,0,2,,,,,2,2,,
11/09/2023 16:41,11/09/2023 16:44,7,143,FALSE,18/09/2023 16:44,R_3p4GWaibOdGCg56,,,,,,,anonymous,EN-GB,Yes,India,Indian,"Rock  ,Pop ,Other Indian Music,Others",melody,20,Music-loving nonmusician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
18/09/2023 21:05,18/09/2023 21:16,100,694,TRUE,18/09/2023 21:16,R_2cAwS5NpAfX6i1h,,,,,53.3586,-6.2483,anonymous,EN-GB,Yes,Ireland,White- Irish ,"Rock  ,Pop ,Metal ,Opera ,Folk ",,27,Music-loving nonmusician,Continue,,Moderately Similar,Slightly Similar,Slightly Similar,Very Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Moderately Similar,Slightly Similar,Moderately Similar,Similar,Very Similar,Very Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
11/09/2023 22:31,11/09/2023 22:33,53,139,FALSE,18/09/2023 22:36,R_cJhVR49gZhxBiWB,,,,,,,anonymous,EN-GB,Yes,United States of America,Asian indian,Indian Classical ,,30,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11/09/2023 23:47,11/09/2023 23:47,1,20,FALSE,18/09/2023 23:47,R_stD30WlX7WM2PnP,,,,,,,anonymous,EN-GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
19/09/2023 20:25,19/09/2023 20:41,100,944,TRUE,19/09/2023 20:41,R_3Pe4w1M2aN8Ed6J,,,,,54.9742,-1.615,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian-Chinese,"Rock  ,Pop ,Metal ",,25,Music-loving nonmusician,Continue,,Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Similar,Moderately Similar,Moderately Similar,Extremely Similar,Very Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
13/09/2023 07:27,13/09/2023 07:27,1,11,FALSE,20/09/2023 07:27,R_3Pq7qTLPpPtirkK,,,,,,,anonymous,EN-GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
13/09/2023 13:44,13/09/2023 14:02,61,1026,FALSE,20/09/2023 14:02,R_2P883Sy3VsaiuEu,,,,,,,anonymous,EN-GB,Yes,India,,"Metal ,Folk ,Others",Yup,24,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Slightly Similar,Moderately Similar,Similar,Slightly Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,,,,,,,,,,0,1,,,,,,,,
20/09/2023 14:03,20/09/2023 14:33,100,1806,TRUE,20/09/2023 14:33,R_10UDVIwF9NXl8sv,,,,,55.867,-4.2621,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White Scottish,"Jazz ,Rock  ,Pop ,Metal ,Opera ,Folk ,Reggae ,Latin ,Western Classical ,Indian Classical ,Other Indian Music,Others","hip-hop, indie, theatre, folk, garage, k-pop, math rock",24,Serious amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Extremely Similar,Moderately Similar,Similar,Not Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,Yes,Continue,Very Similar,Very Similar,Extremely Similar,Extremely Similar,Extremely Similar,Extremely Similar,0,4,,,,,4,,,
15/09/2023 21:57,15/09/2023 21:59,7,132,FALSE,22/09/2023 21:59,R_2SpeR2Yz1pgPT6d,,,,,,,qr,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian - Chinese ,"Pop ,Folk ",,29,Nonmusician,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
16/09/2023 14:20,16/09/2023 14:25,57,320,FALSE,23/09/2023 14:25,R_1CJfauh9mn2N6KC,,,,,,,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Indian,"Rock  ,Pop ,Indian Classical ,Other Indian Music",,24,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Not Similar,Moderately Similar,Slightly Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",,,,,,,,,,,,,0,0,,,,,,,,
